,HIP,Vmag,RA,DE,Plx,pmRA,pmDE,e_Plx,B-V
293,9629,8.69,30.940465999999997,-40.469196000000004,22.16,377.35,41.75,0.98,0.722
294,9642,7.3,30.979076,-45.413032,20.34,328.03,52.87,1.04,0.6940000000000001
295,9659,7.36,31.069481,60.244471999999995,22.16,-24.13,-60.81,0.93,0.555
296,9685,6.45,31.146008000000002,-54.881629000000004,21.17,75.79,-24.72,0.56,0.386
297,9709,8.8,31.222648,11.405035,20.35,59.62,60.6,1.05,0.7340000000000001
298,9742,8.68,31.329711,0.322907,20.85,1.4,-26.91,1.19,0.684
299,9764,10.03,31.38196,12.168871000000001,20.89,-15.1,-81.04,1.49,1.0
300,9769,8.95,31.40506,-24.37935,21.63,412.68,-55.9,1.45,0.795
301,9774,8.55,31.421853000000002,-24.375901000000002,22.31,420.17,-56.69,1.89,0.885
302,9902,7.5,31.858408,-59.679384,22.24,93.05,-18.82,0.63,0.544
303,9920,11.22,31.92578,7.958857000000001,22.44,-10.92,-135.87,2.61,1.271
304,9989,10.94,32.165945,-0.359656,24.47,442.82,-99.81,2.22,1.248
305,10117,8.91,32.5328,-31.069442,22.27,240.66,-175.12,1.09,0.88
306,10175,7.63,32.716716,13.683454000000001,20.41,111.71,-73.24,1.75,0.7040000000000001
307,10212,5.64,32.838177,8.570083,23.52,-141.2,-114.26,0.86,0.569
308,10215,6.0,32.842678,-10.051746000000001,20.0,-27.3,-171.15,0.94,0.418
309,10258,9.7,32.991939,4.361794000000001,20.55,-146.48,-78.57,1.6,1.04
310,10278,7.89,33.08627,-46.816221999999996,23.02,-30.6,-67.25,0.84,0.667
311,10305,5.65,33.197179999999996,-2.3934599999999997,21.71,374.41,-73.08,1.67,0.546
312,10322,7.0,33.232392,57.205023,24.38,267.14,-217.05,0.82,0.6509999999999999
313,10332,11.42,33.281209000000004,58.079966000000006,23.29,-11.12,31.89,7.15,
314,10385,10.87,33.439303,-33.405938,20.25,174.98,-0.45,2.11,1.097
